registry,source_file,declared_sha256,declared_bytes,document_type,declared_status,reconciliation_status,physical_paths,physical_sha256
source-register,banking-finance-principles.pdf,db834730c09f311d005e52cc2bc327807288f1632b0ca0ee62a707e5dcc4e459,1863518,مدونة مبادئ,مرجع مبادئ,declared_original_not_physically_present,,
source-register,bog-administrative-precedents-1402-1436.pdf,ee004d2aa18ea1fe026a0ba3fd63b47dcec4190cca0216308c69eba5fc007b4a,5146695,مدونة سوابق,1317 سابقة مفهرسة؛ 19 قيد مراجعة الحدود,declared_original_not_physically_present,,
source-register,commercial-contract-precedents.pdf,52097af8c245c3680792e410f1f50d18a3076ea116a3160e461b142da3c04c32,17679455,مدونة سوابق,47 سابقة مفصولة,declared_original_not_physically_present,,
source-register,higher-judiciary-principles-1391-1437-runtime.pdf,56d90ae1e6cddc8e03ef1abb45a114bd13a99f8ed0f1f0eb154659121695dfe3,17002527,مدونة مبادئ,نسخة تشغيلية مشتقة لا تُعد مصدرًا مستقلاً,declared_original_not_physically_present,,
source-register,higher-judiciary-principles-1391-1437.pdf,4b392bee12a15c620c0b6db184229d5271f6cb2ffeb7306a4a05d93b4fc41a7a,13557831,مدونة مبادئ,المصدر القانوني المعتمد,declared_original_not_physically_present,,
source-register,ip-judgments-1446.pdf,82e80f464ccea3a427eea760db4b69608fa724f65142d33a5b545f966c23b6bb,526199,مدونة أحكام,7 أحكام مفصولة,declared_original_not_physically_present,,
source-register,ip-precedents.pdf,9f35dbca0f20c3e21e62d40afefe523bda6d942fb2d2e420577fa211e205c8c4,2766408,مدونة سوابق/روابط,مرجع لا يُحتسب كحكم كامل إلا بعد التحقق,declared_original_not_physically_present,,
source-register,judicial-precedents-compilation.pdf,f106c814a438d4b37da57696a19d5ea40701648ddf76108f67b0d112435f3304,1373237,مدونة سوابق/روابط,مرجع لا يُحتسب كحكم كامل إلا بعد التحقق,declared_original_not_physically_present,,
source-register,judicial-precedents-study.pdf,de11954726c15dec323d249db1a898254cd03b359ca49ce2f8ad699ec1745fe4,415237,مدونة سوابق/روابط,مرجع لا يُحتسب كحكم كامل إلا بعد التحقق,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-10.pdf,17172099759e4ae4a6305358e6d4d5bbec12444976069e1628e22ecb672ea010,3781511,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
