id,file,source_file,source_sha256,start_page,end_page,pages,file_sha256,bytes,subject,deed_number,judgment_number,lawsuit_number,decision_date,court,circuit,text_sha256,review_status
collector-1434-v1-p27-33252287,extracted/collector-judgments-pdf/collector-1434-v1-p27-33252287.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,27,42,16,0fc9e733bcb5229e7d650fedfd2602a5df82ee75dfbb1179509fb797f0c4e2cc,530933,بيع سيارة -فسخ البيع لوجود العيب -تقدير العيب عن طريق قسم اخلبراء -اليمن تشرع يف جانب أقوى املتداعين -حلف املدعى مين االستظهار -عند وجود العيب فللمشترى اخليار بن اإلمساك مع اإلرش أو الفسخ -احلكم بإلزام املدعى عليه تسليم الثمن وصرف النظر عن طلب الزيادة .,33252287,,960,1433/5/17,خطاب رئيس محكمة االستئناف واملقيد باحملكمة رقم,قرار أصحاب الفضيلة قضاة الدائرة احلقوقية األولى يف ذات,5b07fa090819297c8dbbbde9127166682a0d9054b70b011266c12b36c51a14ae,metadata_complete_auto_extracted
collector-1434-v1-p43-3436935,extracted/collector-judgments-pdf/collector-1434-v1-p43-3436935.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,43,48,6,cab0d709cd5f740a185544567e74baa5f1f4be754db40ce888d820cfdf9b41bc,499900,بيع -شراء سيارة -املطالبة برد ثمن السيارة والتعويض للعيب - االستعانة بأهل اخلبرة -سلبية التقرير الفني للمدعي -صرف النظر عن الدعوى وإخاء سبيل املدعى عليه .,3436935,,1535,1434/2/13,مصادقة محكمة االستئناف على احلكم .,مكة املكرمة عادت األوراق برفقها قرار الدائرة احلقوقية الثالثة,3104883ef36c1427a44a6ddb36da196914c5edbb36689eb532f91aac9c68a7f7,metadata_complete_auto_extracted
collector-1434-v1-p49-33296287,extracted/collector-judgments-pdf/collector-1434-v1-p49-33296287.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,49,58,10,f05c5b5b6fcbcd15e2eb51feab322abb93c92c8b287fb4d67d62c4ddf3544305,515028,بيع -توريد أجهزة طبية دون قبض الثمن -مطالبة بسداد الثمن- بينة املدعي -مصادقة املدعى عليه على جزء من املبلغ وإنكار الباقي -مطالبة املدعي الفصل يف القضية بحالتها -احلكم بجزء من الثمن وصرف النظر عن باقي الثمن .,33296287,,2163,1433/6/14,ذلك ،مصادقة محكمة االستئناف على احلكم .,الدائرة املختصة بتدقيق القضايا احلقوقية مبحكمة االستئناف,cfd175aa8575b8be594fe52e98e843141c8ce1ce93a5a92ad55f00df4bb970eb,metadata_complete_auto_extracted
collector-1434-v1-p59-3419890,extracted/collector-judgments-pdf/collector-1434-v1-p59-3419890.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,59,69,11,df9540d2ccdf1e51d857c1a69d6bda63d23e4460b6012bd2631b577ffbc71de7,503717,بيع -عقار -شراء فله مع حوش -االختاف بن املتعاقدين يف األقساط -بيع املرهون ال يتم إال بإذن املرتهن -بطان عقد,3419890,,2179,1434/1/21,من محكمة االستئناف .,34757427يف 1434/4/7ه وبرفقه قرار الدائرة احلقوقية اخلامسة,632c777c5dccbf66841726af794334c90fb4c9982a440971903ad10ba542d619,metadata_complete_auto_extracted
collector-1434-v1-p70-33408456,extracted/collector-judgments-pdf/collector-1434-v1-p70-33408456.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,70,75,6,b9f581a4570eb8a39593dec0a6348dc7b20dd92b371e3d93b7bd813b5d49065a,493605,بيع -بيع سيارة بأقساط شهرية -إنكار املدعى عليه شراء السيارة- تقدمي املدعي وكالة ما يفيد شراء املدعى عليه السيارة -إقرار املدعى عليه بصحة توقيعاته على أوراق الشركة البائعة للسيارة -اإللزام بدفع باقي قيمة السيارة .,33408456,,3244,1433/9/11,عدم قناعته باحلكم ،صدق احلكم من محكمة االستئناف .,,d0d95f32604093724a0bb178904be784701a2cfd6189a2c06adc67f48983bc9f,metadata_complete_auto_extracted
collector-1434-v1-p76-33303135,extracted/collector-judgments-pdf/collector-1434-v1-p76-33303135.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,76,81,6,b591dd603019b28f7653944f8040aa3eebe331fbd501943f9391d3e2cf521d3a,491821,بيع -بيع شرائح إتصاالت بآجل -املطالبة بدفع قيمة الشرائح -عدم حضور املدعى عليه -شهادة الشهود العدول -مين املدعي - احلكم غيابي ا بدفع الثمن -الغائب على حجته متى حضر .,33303135,,4700,1433/6/17,صدق احلكم من محكمة االستئناف .,) أ .ه رئيس الدائرة ............ختمه وتوقيعه قاضي استئناف .............,c934ba7aab0749321f877bef2398ebc92e502813c97b555c4c1c2718b327c71f,metadata_complete_auto_extracted
collector-1434-v1-p82-33152564,extracted/collector-judgments-pdf/collector-1434-v1-p82-33152564.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,82,85,4,04e0b05c22203e067f4f049efffca33f7a34f020fd5e0d6d00b03e71bd576c8d,485698,بيع -املطالبة بإعادة قيمة تذاكر -عدم حضور املدعى عليه - احلكم غيابي ا بإعادة ثمن التذاكر -رفع احلكم حملكمة االستئناف لتعذر تبليغ املدعى عليه باحلكم .,33152564,,8603,1433/3/26,حضر -صدق احلكم من محكمة االستئناف .,احلمد هلل وحده وبعد فقد اطلعنا نحن قضاة الدائرة اخلامسة لتمييز,0445f1f2f30cbb562edc032a0520215cff8ac795a05367dc651d963ac988eef9,metadata_complete_auto_extracted
collector-1434-v1-p86-34229820,extracted/collector-judgments-pdf/collector-1434-v1-p86-34229820.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,86,90,5,df20a8530ddd713c461321a81a91105ff18ea05dd8770f4a03b3d0aa00d59476,499433,بيع -عربون -دفع للوسيط كداللة مقابل التوسط يف شراء فيا -الرجوع يف الشراء -املطالبة برد مبلغ الداللة -رفض رد املبلغ -املبلغ املدفوع عربون وليس داللة -مصادقة املدعي على السند املرفق باملعاملة بأن املبلغ عربون -رد دعوى املدعي وإخاء سبيل املدعى عليه من الدعوى .,34229820,,31922,1434/6/4,•صدق احلكم من محكمة االستئناف برقم 34331655وتاريخ,,4514ddc68cd294df91e146f68f04e50789ea2aeb1a19d8b729a40f201c6e5cd4,metadata_complete_auto_extracted
collector-1434-v1-p91-33965,extracted/collector-judgments-pdf/collector-1434-v1-p91-33965.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,91,96,6,9cf9fbb79f38930519132ec6422bf5f7cf87ac011b3b38b67db681f79de8a685,502510,بيع -بيع رؤوس غنم وقبض جزء من الثمن -املطالبة بباقي الثمن -اإلتفاق على االحتكام حلكم -الغنم وقت البيع سليمة -صحة البيع وإلزام املدعى عليه بسداد باقي الثمن .,,,33965,1432/5/21,القناعة وطلب استئناف احلكم لدى محكمة االستئناف بالئحة,,252b1b531280ca9fa75b318c26ebe969d2a7e70bd22623aa1824630b0ef2c8e6,metadata_incomplete_pending_review
collector-1434-v1-p97-33192371,extracted/collector-judgments-pdf/collector-1434-v1-p97-33192371.pdf,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,97,104,8,5171f8e1b646570b081c94937e22ea499e5bcb376da50068c1d29abbb9d1e087,506814,بيع -بيع فيا وعدم قبض كامل الثمن -بينة املدعي صك سابق بأحقيته يف املبلغ -إلزام املدعى عليه بدفع الثمن .,33192371,,34173,1433/4/14,عدم القناعة -صدق احلكم من محكمة االستئناف .,واملتضمن (أنه بدراسة ما أجاب به فضيلته على قرار الدائرة وجد,8c23c1d4757c7a063eb15d04f1e0061f5234826d1aebf42a88816ccf3e549640,metadata_complete_auto_extracted
