candidate_id,source_file,start_page,end_page,reference_field,reference_value,text_sha256,reason,related_record_ids
collector-1434-v14-p174-33300169,moj-judgments-1434-volume-14.pdf,174,180,deedNumber,33300169,a7b43f8ea84b1fa2838c8878a016dfffb2af07c309a92826c2281e31c9295c82,shared_reference_distinct_text_pending_review,collector-1434-v14-p174-33300169;collector-1434-v14-p191-33300169
collector-1434-v14-p191-33300169,moj-judgments-1434-volume-14.pdf,191,211,deedNumber,33300169,f8a1250e774eb324205a261f80e187f735abb202c349a22c3158e711e9e27199,shared_reference_distinct_text_pending_review,collector-1434-v14-p174-33300169;collector-1434-v14-p191-33300169
collector-1434-v19-p227-3422718,moj-judgments-1434-volume-19.pdf,227,231,deedNumber,3422718,2cf05005f6559131fcc367f2f870b26436fc3ff2c576cff5114184e55842c1fb,shared_reference_distinct_text_pending_review,collector-1434-v19-p227-3422718;collector-1434-v23-p291-3422718
collector-1434-v23-p291-3422718,moj-judgments-1434-volume-23.pdf,291,293,deedNumber,3422718,95a5c43ebb9cd146454d8cd414da5309e02aefae01daff6ad1a2b7c21212bb8b,shared_reference_distinct_text_pending_review,collector-1434-v19-p227-3422718;collector-1434-v23-p291-3422718
collector-1434-v16-p341-3435983,moj-judgments-1434-volume-16.pdf,341,344,deedNumber,3435983,fe4395e559e9ccf9116ee8beb2c8e59dba86d09fa8b463678bd79959abda8ed2,shared_reference_distinct_text_pending_review,collector-1434-v16-p341-3435983;collector-1434-v16-p345-3435983
collector-1434-v16-p345-3435983,moj-judgments-1434-volume-16.pdf,345,354,deedNumber,3435983,82570e93be6abc2f1f428bec2d95781dfad31d17857cdda616039267ac996c43,shared_reference_distinct_text_pending_review,collector-1434-v16-p341-3435983;collector-1434-v16-p345-3435983
collector-1434-v7-p14-34356258,moj-judgments-1434-volume-7.pdf,14,24,lawsuitNumber,33306860,c7fb72a5f6bb8162155f6ace0d883ee746ca69eae797bb4b4b195e98b1697c09,shared_reference_distinct_text_pending_review,collector-1434-v7-p14-34356258;collector-1435-v4-p394-33306860
collector-1435-v4-p394-33306860,moj-judgments-1435-volume-4.pdf,394,401,lawsuitNumber,33306860,7a71fbba1f74dcb9b1a9a4b2029b613d7cb9e36a7bc144479ff14f87976dc3d5,shared_reference_distinct_text_pending_review,collector-1434-v7-p14-34356258;collector-1435-v4-p394-33306860
collector-1434-v12-p230-34343086,moj-judgments-1434-volume-12.pdf,230,236,lawsuitNumber,33704224,d48aeff79833723340ef23fccbab1e4dce67f5b5015506c550263cf847a3fe48,shared_reference_distinct_text_pending_review,collector-1434-v12-p230-34343086;collector-1435-v9-p250-33704224
collector-1435-v9-p250-33704224,moj-judgments-1435-volume-9.pdf,250,254,lawsuitNumber,33704224,7e27938f9a8837d42a2f455310da446e553150de92af2ea73bd051608d7c3d11,shared_reference_distinct_text_pending_review,collector-1434-v12-p230-34343086;collector-1435-v9-p250-33704224
