source_file,sha256,bytes,pages,document_type,granularity,status
moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,5322782,324,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1434-volume-2.pdf,bc54bb17b24305dd02bdac024626902f2eabaf468633627239138acdf76f562c,2884693,296,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1434-volume-5.pdf,4a4134d95b2eb2bd58721fba4287e1940f0768fda51741fdb5eb9e445db4e7c6,3988656,517,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1434-volume-11.pdf,664f06d81539e5eab63ca5c678ac288114f094a0cc7f8b44c91d08c7d1a516f9,4662269,328,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1434-volume-13.pdf,a225aedc196e92dcc16ae4a11bc0525e678a2a2ff7abebea2ee6b07f9c96371f,2894539,330,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1434-volume-29.pdf,7eb12d57dc2b2a7bd3d9ea0bac795494cc1b9c7fc7cded4a8ba8344d873ade8c,29140843,458,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-1.pdf,d44dfc501f1d75c8645ecf94e085a7bb0cf407f68a3ccbf7862f7dec115137bf,12957138,502,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-2.pdf,f279f188cad83c6cab8d207be5c7536be794707999cbd4ec3a440b0c90c91e7a,8704396,512,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-3.pdf,de9dbcbde6334c0b670ae71a4c435e78e1e3075183ab17823abdaf267122cf96,8054861,484,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-4.pdf,973bbad83de5f7004d47e9bcb66aea7efc985ec12901968d73e3510cf36b93ee,8543591,520,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-5.pdf,977bb12cf044997731c16dd70374482dee814b59a081e50ef11a8b0ce85b39b5,7446483,380,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-6.pdf,a821a27d9080b61228e7258fe6c9f846dcc662bf02eae622f6f02b3ab9d0a0e4,7324563,430,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-7.pdf,3adbce6afc6b1cb5f9a9ddc18f3c3431835f2bc3701d7da5aa2e295f1526046b,7479291,468,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-8.pdf,097abb7cd92931ad27d9e0a902a3f45bee357aebcfa416f972240682ade500cb,8503998,450,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-9.pdf,47558539b3e76bb677fc71e8e3748c597cbe9caf169d5eb4d82f91e84929d822,9115611,476,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-10.pdf,7d6e7ede15d5b51adf7afab9d7547c85cc365670951cccab92bab1fc55013077,9576314,576,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-11.pdf,d278d4cdffc2b84137db2ca7ff26765bd0d3beb2650f52cd28edad89080bd3c4,10639850,590,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-12.pdf,1818d073ee2db499a73dbfa814ffd2d7ac809490a1a41e91cd01dd7b0b095edb,10451495,594,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-13.pdf,7ca16fb42e311f8a31c49df44df80cd019b4b243e8b20a4bae75fca334298c20,11072928,630,مدونة أحكام,document,مصدر قضايا وزارة العدل
moj-judgments-1435-volume-14.pdf,e5c9cffa22c8c911fe74c432261bd0dac0ed03d7059df2ba29433079212540b8,5387663,410,مدونة أحكام,document,مصدر قضايا وزارة العدل
