source_file,pages,detected_boundaries,indexed_case_pdfs,status,notes
moj-judgments-1434-volume-1.pdf,324,37,35,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-10.pdf,412,52,50,indexed,case_pdfs_created
moj-judgments-1434-volume-11.pdf,328,40,37,indexed,case_pdfs_created
moj-judgments-1434-volume-12.pdf,378,52,50,indexed,case_pdfs_created
moj-judgments-1434-volume-13.pdf,330,35,33,indexed,case_pdfs_created
moj-judgments-1434-volume-14.pdf,376,42,34,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-15.pdf,387,64,58,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-16.pdf,427,66,57,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-17.pdf,512,52,49,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-18.pdf,506,58,54,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-19.pdf,339,41,39,indexed,case_pdfs_created
moj-judgments-1434-volume-2.pdf,296,38,36,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-20.pdf,336,43,42,indexed,case_pdfs_created
moj-judgments-1434-volume-21.pdf,332,49,44,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-22.pdf,267,37,36,indexed,case_pdfs_created
moj-judgments-1434-volume-23.pdf,353,49,43,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-24.pdf,369,43,37,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-25.pdf,420,32,32,indexed,case_pdfs_created
moj-judgments-1434-volume-26.pdf,375,37,36,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-27.pdf,317,33,31,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-28.pdf,309,41,32,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-29.pdf,458,0,0,reference_only,bibliographic_index_not_a_judgment_source
moj-judgments-1434-volume-3.pdf,380,48,45,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-30.pdf,176,0,0,needs_review,no_verified_case_boundaries_detected
moj-judgments-1434-volume-4.pdf,356,48,44,indexed,case_pdfs_created
moj-judgments-1434-volume-5.pdf,517,62,61,indexed,case_pdfs_created
moj-judgments-1434-volume-6.pdf,410,41,24,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-7.pdf,380,44,42,indexed,case_pdfs_created
moj-judgments-1434-volume-8.pdf,386,35,32,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1434-volume-9.pdf,433,29,24,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-1.pdf,502,90,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-10.pdf,576,100,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-11.pdf,590,113,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-12.pdf,594,116,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-13.pdf,630,132,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-14.pdf,410,0,0,reference_only,bibliographic_index_not_a_judgment_source
moj-judgments-1435-volume-2.pdf,512,93,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-3.pdf,484,76,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-4.pdf,520,83,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-5.pdf,380,70,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-6.pdf,430,59,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-7.pdf,468,68,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-8.pdf,450,84,0,indexed,case_pdfs_created_with_metadata_review_required
moj-judgments-1435-volume-9.pdf,476,94,0,indexed,case_pdfs_created_with_metadata_review_required
