id,file,source_file,source_path,source_sha256,source_bytes,start_page,end_page,pages,file_sha256,file_bytes,text_sha256,status
recovered-moj-1434-v3-p5-34378268,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p5-34378268.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,5,8,4,e7a313b6f76423a30f249301f9514290112f7d0515b602436949e72803e15545,488805,e7fcf15b5c81865ebf37ad6a834a86a63cfe4e84ec94523252103aec97d30a66,exact_duplicate_review
recovered-moj-1434-v3-p9-3464147,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p9-3464147.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,9,19,11,1d6fc17dd726bd88cc12b15ad9e462da37b54c7814804a4ea76282fa27b6eb2c,504456,5df262f1e69cbbc2241267b38564e681c7a1eb4f4c4d4cb599365e64aa198895,exact_duplicate_review
recovered-moj-1434-v3-p20-33105340,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p20-33105340.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,20,24,5,bc05f0579cf9f1a14fb1b47637b834679cdfaf3855e279fde1a0ef759005244f,497039,a533d0392700806bb7caa1e5bd67c3d17060d14864f79b421c2b8c558f505ff1,exact_duplicate_review
recovered-moj-1434-v3-p25-34259694,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p25-34259694.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,25,28,4,7749d022235aa2db81fd4102df6ac91dde27719f76519ac691d57eb355c03568,496106,18a633ec9936ecd403ed589f61c7059a655c3c0cb3093669ff99f04c138eb97f,exact_duplicate_review
recovered-moj-1434-v3-p29-34317033,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p29-34317033.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,29,34,6,1d9179cabcf708f05b520ced5cb89593a08b8ec684bbbf17e23bc0167ea8ef24,1241313,1ea5299b4e32a7229daa78abd218458d898f58786f77ba66649121ef9be0172e,exact_duplicate_review
recovered-moj-1434-v3-p35-32528560,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p35-32528560.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,35,46,12,6cb0c1bfbcb5635a19bddfd1da22577cad5f8d970511175653c17a79a20e459d,1271884,483dae2c0ebfb66c1bd7e03d826ab3771acd48748aad9be350a318bf1e9c9e31,exact_duplicate_review
recovered-moj-1434-v3-p47-34252675,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p47-34252675.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,47,56,10,afe66d206fdcb2c8e1db6454763f8d046ae196d0d9862ea9a62eb96efb55c0d9,1263981,dc3eb18edb25f957c327efd7dac173af9200898ca5e07993131a07a930b0755a,exact_duplicate_review
recovered-moj-1434-v3-p57-34353441,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p57-34353441.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,57,62,6,1032e9b94fc6e0b5a3463750f06a26cf3d86fad02a6a1f36a8c6dc2483c167f1,1248700,847283e65c01269313a4099a3d89420e38eec607bd576f705031446e948736a5,exact_duplicate_review
recovered-moj-1434-v3-p63-33192872,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p63-33192872.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,63,76,14,21174a52588732bdaa8ec1f3f736c84c169ba4bd67f88fef000efbcfdae9e74a,536201,eae2cff067e0162330f39a3b31ff22bef0cd5b6f34afec4f502def94393c9191,exact_duplicate_review
recovered-moj-1434-v3-p77-33324572,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p77-33324572.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,77,92,16,5215e09be8ff74960ef28d57347c32dea89cef2fe846b3ea536417c2c79a7f78,531536,d26f6c81a36a929f71e05c45ce8889e84dfb0676ad52fa10cd01a6b78ba311bc,exact_duplicate_review
recovered-moj-1434-v3-p93-34265447,extracted/recovered-moj-judgments-pdf/recovered-moj-1434-v3-p93-34265447.pdf,moj-judgments-1434-volume-3.pdf,archive-sources/moj/1434/moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,93,102,10,66023d060eb600439a740feae0eee9d7e5f4a23f294c1ff409941daf0491d877,509962,6287c7e7c8561862a485b3288f9e8620acaf34d8fa0a72838702c0acb5b2aa6c,exact_duplicate_review
