id,source_file,start_page,end_page,reason
collector-1434-v11-p143-33415408,moj-judgments-1434-volume-11.pdf,143,158,missing_source_subject
collector-1434-v13-p127-33454406,moj-judgments-1434-volume-13.pdf,127,135,missing_source_subject
collector-1434-v13-p173-34270433,moj-judgments-1434-volume-13.pdf,173,182,missing_source_subject
collector-1434-v2-p269-269,moj-judgments-1434-volume-2.pdf,269,272,missing_source_subject
collector-1434-v5-p437-33-1362501,moj-judgments-1434-volume-5.pdf,437,439,missing_source_subject
collector-1435-v1-p189-1435-6-1,moj-judgments-1435-volume-1.pdf,189,191,missing_source_subject
collector-1435-v10-p339-35182025,moj-judgments-1435-volume-10.pdf,339,342,missing_source_subject
collector-1435-v11-p496-496,moj-judgments-1435-volume-11.pdf,496,499,missing_source_subject
collector-1435-v12-p238-238,moj-judgments-1435-volume-12.pdf,238,239,missing_source_subject
collector-1435-v13-p201-201,moj-judgments-1435-volume-13.pdf,201,202,missing_source_subject
collector-1435-v13-p211-211,moj-judgments-1435-volume-13.pdf,211,212,missing_source_subject
collector-1435-v13-p411-411,moj-judgments-1435-volume-13.pdf,411,412,missing_source_subject
collector-1435-v2-p115-115,moj-judgments-1435-volume-2.pdf,115,117,missing_source_subject
collector-1435-v2-p293-7-100-93,moj-judgments-1435-volume-2.pdf,293,295,missing_source_subject
collector-1435-v2-p440-440,moj-judgments-1435-volume-2.pdf,440,441,missing_source_subject
collector-1435-v3-p54-33435472,moj-judgments-1435-volume-3.pdf,54,54,missing_source_subject
collector-1435-v3-p170-170,moj-judgments-1435-volume-3.pdf,170,172,missing_source_subject
collector-1435-v4-p322-322,moj-judgments-1435-volume-4.pdf,322,325,missing_source_subject
collector-1435-v5-p291-291,moj-judgments-1435-volume-5.pdf,291,292,missing_source_subject
collector-1435-v6-p244-244,moj-judgments-1435-volume-6.pdf,244,249,missing_source_subject
collector-1435-v6-p372-5-2-55,moj-judgments-1435-volume-6.pdf,372,378,missing_source_subject
collector-1435-v7-p303-5-4-308,moj-judgments-1435-volume-7.pdf,303,304,missing_source_subject
collector-1435-v7-p316-273992,moj-judgments-1435-volume-7.pdf,316,318,missing_source_subject
collector-1435-v7-p423-423,moj-judgments-1435-volume-7.pdf,423,426,missing_source_subject
