source_file,indexed_case_pdfs
moj-judgments-1434-volume-1.pdf,35
moj-judgments-1434-volume-10.pdf,50
moj-judgments-1434-volume-11.pdf,37
moj-judgments-1434-volume-12.pdf,50
moj-judgments-1434-volume-13.pdf,33
moj-judgments-1434-volume-14.pdf,34
moj-judgments-1434-volume-15.pdf,58
moj-judgments-1434-volume-16.pdf,57
moj-judgments-1434-volume-17.pdf,49
moj-judgments-1434-volume-18.pdf,54
moj-judgments-1434-volume-19.pdf,39
moj-judgments-1434-volume-2.pdf,36
moj-judgments-1434-volume-20.pdf,42
moj-judgments-1434-volume-21.pdf,44
moj-judgments-1434-volume-22.pdf,36
moj-judgments-1434-volume-23.pdf,43
moj-judgments-1434-volume-24.pdf,37
moj-judgments-1434-volume-25.pdf,32
moj-judgments-1434-volume-26.pdf,36
moj-judgments-1434-volume-27.pdf,31
moj-judgments-1434-volume-28.pdf,32
moj-judgments-1434-volume-3.pdf,45
moj-judgments-1434-volume-4.pdf,44
moj-judgments-1434-volume-5.pdf,61
moj-judgments-1434-volume-6.pdf,24
moj-judgments-1434-volume-7.pdf,42
moj-judgments-1434-volume-8.pdf,32
moj-judgments-1434-volume-9.pdf,24
