candidate_id,source_record_number,source_filename,case_number,text_sha256,related_record_ids,reason,disposition
telegram-linked-precedent-24a6cace84f9e7b6de9ea9cd,5,21.pdf,34109654,5f06533f7c138b6775fde4c444740325c8ca811636f2eaa548d3dd68a932bc54,collector-1434-v21-p5-34176700;moj-1434-v21-p5-34176700,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-461bd064672e1d0d19838577,7,21.pdf,34121025,05d671939d2833aeb94f73e7131425c0f28164ea14c0bcce0b683fb33bb214c0,collector-1434-v21-p17-34165528;moj-1434-v21-p17-34165528,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-6da688a0916ee177b33c8e8a,8,21.pdf,34121025,c7e6614489cb3873ab019bfa477aea28f2a18885d7e419a59c081bf1ad74d8c6,collector-1434-v21-p17-34165528;moj-1434-v21-p17-34165528;telegram-linked-precedent-461bd064672e1d0d19838577,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-a403649d911a4ad63f0db630,9,21.pdf,34141080,dd1bc99389f2afdab9868c425f0c702b0a95ac2b80d9457e13a949e9bc18d7d4,collector-1434-v21-p41-34180358;moj-1434-v21-p41-34180358,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-4b9a1d25610b6abe3ff9379a,11,21.pdf,34148702,4f9dae0a52371f2d59b35cb8b4ff097ae263cdcc9c1725e9571e1b7eaf158f75,collector-1434-v21-p54-34184868;moj-1434-v21-p54-34184868,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-e07f1647b47bd1b56f333b34,12,21.pdf,34161373,c7c7492db1d5a6ce6982ad0fb90129e009986d51a01060d4be753d4434410b74,collector-1434-v21-p66-34196715;moj-1434-v21-p66-34196715,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-73425dad06fff47defbb5520,18,21.pdf,34167643,ee704d86b415a54d6802319a9842f95ce672a1ff2c4edb70c303aaa3b3ac6515,collector-1434-v21-p106-34193641;moj-1434-v21-p106-34193641,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-549cc59629e3a3c23e3b96ce,19,21.pdf,34171923,7999766f66e437af5accaa5468b1b8dd51e49d3fedbadea35298f6066ff4e637,collector-1434-v21-p112-34274417;moj-1434-v21-p112-34274417,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-b56de80fb4de12ea35fa6fae,20,21.pdf,34171923,046dcaf799204ce12f5c5c1385a0ac3b19f691be438d424b47a875a43b7625b8,collector-1434-v21-p112-34274417;moj-1434-v21-p112-34274417;telegram-linked-precedent-549cc59629e3a3c23e3b96ce,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-46a98d9df15dd1dd3f26d6b2,21,21.pdf,34181757,17ae16fdd4a3b7ced3bbaaad54ebd56ceb87c414d30c927e335efb708083cc37,collector-1434-v21-p136-34229749;moj-1434-v21-p136-34229749;recovered-moj-1434-v21-p136-34229749,same_case_reference_distinct_or_unconfirmed_text,manual_review
