telegram_channel,post_id,post_url,filename_as_published,display_size,posted_at,forwarded_from_name,forwarded_from_url,provisional_document_class,binary_original_status,official_source_status,import_eligibility,reason
robiai33,3,https://t.me/robiai33/3,_مدونة الأخلاقيات القضائية.pdf,157.3 KB,2026-08-06T14:05:13+00:00,,,فهرس/مدونة مرجعية غير مستقلة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,4,https://t.me/robiai33/4,مدونة التأمينات .pdf,2.3 MB,2026-08-06T14:05:31+00:00,,,فهرس/مدونة مرجعية غير مستقلة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,5,https://t.me/robiai33/5,‎⁨تعاميم الانهاءات ⁩.pdf,887.6 KB,2026-08-06T18:16:16+00:00,,,مادة قانونية غير مصنفة وغير متحققة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,6,https://t.me/robiai33/6,مدونة_السوابق_القضائية_التأمينية_للجنة_الاستئنافية_للفصل_في_المنازعات.pdf,26 MB,2026-08-06T18:22:00+00:00,,,فهرس/مدونة مرجعية غير مستقلة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,7,https://t.me/robiai33/7,السوابق_الجنائية_وكيفية_رد_الاعتبار؟_للقاضي_أحمد_القحطاني.pdf,13.1 MB,2026-08-06T18:23:07+00:00,,,سابقة قضائية مرشحة غير متحققة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,8,https://t.me/robiai33/8,‎⁨ملف_تحليل_السوابق_القضائية_20⁩.pdf,349.6 KB,2026-08-06T18:23:07+00:00,,,سابقة قضائية مرشحة غير متحققة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,9,https://t.me/robiai33/9,القواعد_والشروط_والمصطلحات_الواردة_في_شرح_نظام_الإثبات_الصادر_من.pdf,645.1 KB,2026-08-06T18:23:07+00:00,,/s/robiai33?after=9,لائحة/نظام مرشح غير متحقق,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,10,https://t.me/robiai33/10,‎⁨ملف_تحليل_السوابق_القضائية_20⁩.pdf,349.6 KB,2026-08-06T18:23:07+00:00,,,سابقة قضائية مرشحة غير متحققة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,11,https://t.me/robiai33/11,‎مدونة_السوابق_القضائية_التأمينية.pdf,72.6 MB,2026-08-06T18:23:07+00:00,,,فهرس/مدونة مرجعية غير مستقلة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
robiai33,12,https://t.me/robiai33/12,مدونة_السوابق_القضائية_التأمينية_للجنة_الاستئنافية_للفصل_في_المنازعات.pdf,26 MB,2026-08-06T18:23:07+00:00,,,فهرس/مدونة مرجعية غير مستقلة,not_downloaded,unverified,not_eligible,Telegram preview supplies metadata only; download original and verify official provenance before indexing
