id,file,source_file,start_page,end_page,pages,sha256,bytes,preserved_original_pages
moj-1434-v3-p5-34378268,moj-1434-v3-p5-34378268.pdf,moj-judgments-1434-volume-3.pdf,5,8,4,c3e98bdcd6f07b97f2616f8bba3b9efe5a0e95c75e6844e27ad49f31df5da5d7,488663,True
moj-1434-v3-p9-3464147,moj-1434-v3-p9-3464147.pdf,moj-judgments-1434-volume-3.pdf,9,19,11,2aa4dadf28154f8341beea5107fc1579a79ddf9f613bdbfe145c9cd792909a8c,504206,True
moj-1434-v3-p20-33105340,moj-1434-v3-p20-33105340.pdf,moj-judgments-1434-volume-3.pdf,20,24,5,15809218d050c0d3208b4c353333c9d313ea8530685702d73aadc19906c9e297,496851,True
moj-1434-v3-p25-34259694,moj-1434-v3-p25-34259694.pdf,moj-judgments-1434-volume-3.pdf,25,28,4,dc4e52f1c68bba9f17cff1ce13a2000e5d5f580affea03cd642dd0134168cbfb,495910,True
moj-1434-v3-p29-34317033,moj-1434-v3-p29-34317033.pdf,moj-judgments-1434-volume-3.pdf,29,34,6,6d11c88fed174b6752ce7a1dd4aa3dfa19d731e2fc54e2760003a0ea76be0a99,1241149,True
moj-1434-v3-p35-32528560,moj-1434-v3-p35-32528560.pdf,moj-judgments-1434-volume-3.pdf,35,46,12,4cac41ba50de28997ee10eee035683985b200016cede05b1df52ec754bedf871,1271586,True
moj-1434-v3-p47-34252675,moj-1434-v3-p47-34252675.pdf,moj-judgments-1434-volume-3.pdf,47,56,10,1506bbea8c12c5abd9ab45aea11851d0dc52dbb3b1fa0f60fc6741e451482523,1263726,True
moj-1434-v3-p57-34353441,moj-1434-v3-p57-34353441.pdf,moj-judgments-1434-volume-3.pdf,57,62,6,5aa0c06cc9dd62462cb5de75d09b093701b3d835f20c4ffefa7e7ea97c56947c,1248553,True
moj-1434-v3-p63-33192872,moj-1434-v3-p63-33192872.pdf,moj-judgments-1434-volume-3.pdf,63,76,14,c1712c256dc3f640333123c3368d44e12ab1e0986f269095d2edbf4e48d22024,535839,True
moj-1434-v3-p77-33324572,moj-1434-v3-p77-33324572.pdf,moj-judgments-1434-volume-3.pdf,77,92,16,d37eb306a0f44977e101eebb944263eaf2806200bbde3b5cc5ba276bb7ddc30d,531093,True
moj-1434-v3-p93-34265447,moj-1434-v3-p93-34265447.pdf,moj-judgments-1434-volume-3.pdf,93,102,10,af3e91d831134d3ab6d3a8faddbfb06e36ff5193d2e7f407924d0e0ee7bf1e1f,509666,True
moj-1434-v3-p103-34262302,moj-1434-v3-p103-34262302.pdf,moj-judgments-1434-volume-3.pdf,103,107,5,e32fea73a4753add93c2b442a4e1ace73f56bd6536daa339622e5db38c1661e2,484060,True
moj-1434-v3-p108-343219,moj-1434-v3-p108-343219.pdf,moj-judgments-1434-volume-3.pdf,108,111,4,5de6f55e2cf6bac3d9956bdae1341942f4ee85e0d5e81cedc4e31befc15bf8e0,491694,True
moj-1434-v3-p112-34184985,moj-1434-v3-p112-34184985.pdf,moj-judgments-1434-volume-3.pdf,112,122,11,8d44334fa0d4fe069b4bc177b68353dcbb2861abdbe7aea9e4b7d46b895da6d1,515982,True
moj-1434-v3-p123-347621,moj-1434-v3-p123-347621.pdf,moj-judgments-1434-volume-3.pdf,123,127,5,2c24a6429a31697efb4e610dcc6d18a0bbe32c259d7eb88869ed12a8d97207c5,482877,True
moj-1434-v3-p128-33316247,moj-1434-v3-p128-33316247.pdf,moj-judgments-1434-volume-3.pdf,128,140,13,12d60c23134353536814c382de0bd7c13518dc63c372ba2eedbb3edfe993b9be,517852,True
moj-1434-v3-p141-348978,moj-1434-v3-p141-348978.pdf,moj-judgments-1434-volume-3.pdf,141,150,10,ac69d02b2b5d3045474b4f4a2998cea8dc531ca0a5a950dc66a61cca2dd5a829,517397,True
moj-1434-v3-p151-33368850,moj-1434-v3-p151-33368850.pdf,moj-judgments-1434-volume-3.pdf,151,156,6,635234485ff8dd0a01ed15cb374d96ca1f0ce6126baefec1199073bede1952bf,500407,True
moj-1434-v3-p157-34201455,moj-1434-v3-p157-34201455.pdf,moj-judgments-1434-volume-3.pdf,157,162,6,01315a1194eb6c9d394f64443f89c38cc510a2381c3d0bd469266ff19ac81774,497684,True
moj-1434-v3-p163-3436738,moj-1434-v3-p163-3436738.pdf,moj-judgments-1434-volume-3.pdf,163,170,8,1018cd55c2a6091e63caa4c3ff9440ce6685e29e19bae8f8f4adb8f75d247592,506719,True
moj-1434-v3-p171-33451680,moj-1434-v3-p171-33451680.pdf,moj-judgments-1434-volume-3.pdf,171,175,5,834c9f02e34a9fd9fdb74bdcf8705ca5586b9dfdb3d90657a5662ae3f6910ebc,486156,True
moj-1434-v3-p176-3410162,moj-1434-v3-p176-3410162.pdf,moj-judgments-1434-volume-3.pdf,176,181,6,0f2f2d2c54fdc75964d0acd3eab7c5721f1a2d5f17959a94e58972cb4964ae6c,498213,True
moj-1434-v3-p182-33411618,moj-1434-v3-p182-33411618.pdf,moj-judgments-1434-volume-3.pdf,182,190,9,5f4d5a7b1086616c6b679846a337b94222da9e41508924c771ab95391a7773bc,519807,True
moj-1434-v3-p191-33442131,moj-1434-v3-p191-33442131.pdf,moj-judgments-1434-volume-3.pdf,191,202,12,ce8f5dd30b4fbb0cbafd6176f4a1cf410f906272a5efc39fae2266232404a113,519715,True
moj-1434-v3-p203-34194629,moj-1434-v3-p203-34194629.pdf,moj-judgments-1434-volume-3.pdf,203,208,6,746cb8c60b58e19ab7d5d923532ee82b714a867962fc2323f38ce65fa7ac520c,501169,True
moj-1434-v3-p209-34355584,moj-1434-v3-p209-34355584.pdf,moj-judgments-1434-volume-3.pdf,209,219,11,fa04e9e73b90e0f1aca7a9c7ebba0d30e1f404b8f69262249f6d70d133965e92,505602,True
moj-1434-v3-p220-3437753,moj-1434-v3-p220-3437753.pdf,moj-judgments-1434-volume-3.pdf,220,226,7,187041408fb97b8f5c4a4ab43ae75efe573878606ac976f11f2edd955b013fea,513079,True
moj-1434-v3-p227-33475191,moj-1434-v3-p227-33475191.pdf,moj-judgments-1434-volume-3.pdf,227,230,4,05189338d4d85a221c6f96faa907cd6752db516ed94e1c807827a35e40a16e88,494226,True
moj-1434-v3-p231-3420688,moj-1434-v3-p231-3420688.pdf,moj-judgments-1434-volume-3.pdf,231,235,5,eb45cfa070a9a49a6f46e3ddde45be7298e393ca5df9dd2289ee006546fe3376,485896,True
moj-1434-v3-p236-3423451,moj-1434-v3-p236-3423451.pdf,moj-judgments-1434-volume-3.pdf,236,239,4,f9c6ba0e438fbc8fdfba59f606a0bd55f51a5e2312efc52ef4a6a2abb2506f75,495559,True
moj-1434-v3-p240-34236377,moj-1434-v3-p240-34236377.pdf,moj-judgments-1434-volume-3.pdf,240,247,8,c9eb0b360e5dd6c888999a6c978eafe106c27f652dee141a4a64cc18cd5a3f6f,506647,True
moj-1434-v3-p248-34185130,moj-1434-v3-p248-34185130.pdf,moj-judgments-1434-volume-3.pdf,248,252,5,c7687025e04f12254367f00a0e817e5ab2c618669436f68469fac8ebbbdb4f12,509319,True
moj-1434-v3-p253-34227500,moj-1434-v3-p253-34227500.pdf,moj-judgments-1434-volume-3.pdf,253,258,6,5fa9a4ab30c308babb7bbd01bb28b241892f88475940b8304575ad7bf8527c0f,500280,True
moj-1434-v3-p259-34234369,moj-1434-v3-p259-34234369.pdf,moj-judgments-1434-volume-3.pdf,259,262,4,1701eecc0a862f315f8b57b0e584b2e0313a3fd470a9d359381d89de8a560920,494437,True
moj-1434-v3-p263-34293396,moj-1434-v3-p263-34293396.pdf,moj-judgments-1434-volume-3.pdf,263,268,6,211a2f2967b81a9de03e85fc14a638ff22b3758613615e5e61820e6723a209da,501951,True
moj-1434-v3-p269-33443865,moj-1434-v3-p269-33443865.pdf,moj-judgments-1434-volume-3.pdf,269,280,12,9022f3256eba2104ca3735219931c1e0e2beebd04391a90487bc43101dc15f4f,1270821,True
moj-1434-v3-p281-34261913,moj-1434-v3-p281-34261913.pdf,moj-judgments-1434-volume-3.pdf,281,302,22,1f04e1104c9216c24851b8d7a3b247524b62dfc3923c355191de74a015d928f2,548567,True
moj-1434-v3-p303-3414283,moj-1434-v3-p303-3414283.pdf,moj-judgments-1434-volume-3.pdf,303,312,10,522c4199f52cdbaa2a800827015e0048516afaf41fe209ebdd170ec9e91bde4a,511167,True
moj-1434-v3-p313-34167155,moj-1434-v3-p313-34167155.pdf,moj-judgments-1434-volume-3.pdf,313,318,6,3536ea49c96929a32ee35708cba68254ea9e1ef14de6d15d60780932ae443b69,499729,True
moj-1434-v3-p319-34260802,moj-1434-v3-p319-34260802.pdf,moj-judgments-1434-volume-3.pdf,319,331,13,d977d7cacc0905307b92a75bf012479d5103f0fc50447aab258dd38ca120a321,509585,True
moj-1434-v3-p332-33474299,moj-1434-v3-p332-33474299.pdf,moj-judgments-1434-volume-3.pdf,332,338,7,5ac2206e6f6736c287b06151feb816784f5e50f7b4fe085469e736fb346a4915,504712,True
moj-1434-v3-p339-3414912,moj-1434-v3-p339-3414912.pdf,moj-judgments-1434-volume-3.pdf,339,345,7,cbd89977fe4512bfa412be7ec2b873fd3d7d6494a9c8fc0f9edd2c4ef2c7de34,490066,True
moj-1434-v3-p346-34239280,moj-1434-v3-p346-34239280.pdf,moj-judgments-1434-volume-3.pdf,346,349,4,8a960dce59f4df559b8f6098e83816a038cf288af2a52510df4a35d321c74a1a,493464,True
moj-1434-v3-p350-33462429,moj-1434-v3-p350-33462429.pdf,moj-judgments-1434-volume-3.pdf,350,353,4,e8ea27aae46860c95a579dd8b3954912a1f48310c255ab1d5575d8890ffd4f3f,493332,True
moj-1434-v3-p354-3454717,moj-1434-v3-p354-3454717.pdf,moj-judgments-1434-volume-3.pdf,354,360,7,08d3f2e690845803277fa9851e83e2154d18ba3ef05271bc36a284dd20c6aaeb,513030,True
moj-1434-v3-p361-34286925,moj-1434-v3-p361-34286925.pdf,moj-judgments-1434-volume-3.pdf,361,368,8,ff2a06cc644fa8c9d213bd98dd2ca49ee562982527b5005cf24a1465c5e9c62f,1253211,True
moj-1434-v3-p369-34319310,moj-1434-v3-p369-34319310.pdf,moj-judgments-1434-volume-3.pdf,369,380,12,6eeab4d140d06f6483479678a5e3cabcd0f0ed88882ed386155f96cb047820e4,1380117,True
moj-1434-v4-p5-34295094,moj-1434-v4-p5-34295094.pdf,moj-judgments-1434-volume-4.pdf,5,22,18,7f839e8d5fd7fd8e5f43a1861dc649f0be562861db6679f2358e085a29335cbb,537685,True
moj-1434-v4-p23-3427303,moj-1434-v4-p23-3427303.pdf,moj-judgments-1434-volume-4.pdf,23,27,5,1075f47fbac75d038b1321470a5c4fccd8710113f2124010a5ec368050096827,489138,True
moj-1434-v4-p28-3435223,moj-1434-v4-p28-3435223.pdf,moj-judgments-1434-volume-4.pdf,28,32,5,8a311bf31b3696d5e5af268dc1ef5c2051f6ccab40a0074f99291c53263e5c0b,497784,True
moj-1434-v4-p33-3436038,moj-1434-v4-p33-3436038.pdf,moj-judgments-1434-volume-4.pdf,33,39,7,eb9deea43f19a7c3d7ce30206d3edc15dcc0b23effd7f8057be9c55a3db748cb,495010,True
moj-1434-v4-p40-3444104,moj-1434-v4-p40-3444104.pdf,moj-judgments-1434-volume-4.pdf,40,44,5,8c72395d8aa66aaec029000029a39dc9a27b4881885b770783b103eea2189b65,503490,True
moj-1434-v4-p45-3455626,moj-1434-v4-p45-3455626.pdf,moj-judgments-1434-volume-4.pdf,45,49,5,bc45cd1b9d4088f5581c6b251755b95c3a72f0d441f3d89f80c98b666b3b3f7d,489274,True
moj-1434-v4-p50-34168512,moj-1434-v4-p50-34168512.pdf,moj-judgments-1434-volume-4.pdf,50,56,7,5243c109dd9de3d116afdd2650070e957694657db3e51124df333d59b90e9366,513717,True
moj-1434-v4-p57-34309759,moj-1434-v4-p57-34309759.pdf,moj-judgments-1434-volume-4.pdf,57,62,6,bb189f8780339c331c1729935d5e7a4d74b1d73ee43f0c3bca3321f7fae218b9,500101,True
moj-1434-v4-p63-33347755,moj-1434-v4-p63-33347755.pdf,moj-judgments-1434-volume-4.pdf,63,67,5,c4bb0f637f05c3f0798ebcd859e851c428512aebb3cbde8fc55626a8b7ec60b9,489653,True
moj-1434-v4-p68-3418117,moj-1434-v4-p68-3418117.pdf,moj-judgments-1434-volume-4.pdf,68,71,4,e90bead362215dc8fafef2229788222edeae7e08f9a301cddba6ef5cfd002383,489764,True
moj-1434-v4-p72-34293933,moj-1434-v4-p72-34293933.pdf,moj-judgments-1434-volume-4.pdf,72,78,7,3dd0b74a752836e4a387a3ebd3422430f332a262b9059fef095952e8aac5e57b,502094,True
moj-1434-v4-p79-34275262,moj-1434-v4-p79-34275262.pdf,moj-judgments-1434-volume-4.pdf,79,88,10,cb872a4d667dc6fe065f96e7826b4f304edddd42c05ea4cf6b265b3ca461baeb,498585,True
moj-1434-v4-p89-34240537,moj-1434-v4-p89-34240537.pdf,moj-judgments-1434-volume-4.pdf,89,92,4,d37db06dae6fe796ccfa8d199d6eec540df04b356f94345e8c084ee50919194b,489430,True
moj-1434-v4-p93-34185871,moj-1434-v4-p93-34185871.pdf,moj-judgments-1434-volume-4.pdf,93,99,7,c59b71c4b687fdf56e4d72a8cddd4d6590e918c52b62c251d187171932f64f6c,490581,True
moj-1434-v4-p100-34207930,moj-1434-v4-p100-34207930.pdf,moj-judgments-1434-volume-4.pdf,100,112,13,e9f272f3d2d330690a6e6698c230bffee916cd8af208e04aaa41ee8418ef302e,520988,True
moj-1434-v4-p113-34293616,moj-1434-v4-p113-34293616.pdf,moj-judgments-1434-volume-4.pdf,113,116,4,e11c3cc69c44930bbe0902967cd6ea5d6b7e6b768eb3a379bd5a9caef25e6f90,482891,True
moj-1434-v4-p117-34330175,moj-1434-v4-p117-34330175.pdf,moj-judgments-1434-volume-4.pdf,117,127,11,05470315207054864a0c04a35db76e8f4645b96e3a407d8363a0e0d2d088feb3,506131,True
moj-1434-v4-p128-331239103,moj-1434-v4-p128-331239103.pdf,moj-judgments-1434-volume-4.pdf,128,138,11,5a85dc05fd5546423992c2c310c40f57709839699c9c7c8fed1e899ec94f07cc,1265870,True
moj-1434-v4-p139-33204799,moj-1434-v4-p139-33204799.pdf,moj-judgments-1434-volume-4.pdf,139,144,6,81e17f3f9fa80430b56babce388d11998803a56da2857d4ec155df05e329a67d,492207,True
moj-1434-v4-p145-347286,moj-1434-v4-p145-347286.pdf,moj-judgments-1434-volume-4.pdf,145,153,9,6e6855d5d4b7b563fab20192e5498bb6cd15c353964845ddcffe82be7fc18411,499920,True
moj-1434-v4-p154-3314438,moj-1434-v4-p154-3314438.pdf,moj-judgments-1434-volume-4.pdf,154,162,9,ca93f2547f609e3cf7ea0eb9b56ab01a8b61e6d4ecf71906e11d8c406f62791b,516556,True
moj-1434-v4-p163-3437750,moj-1434-v4-p163-3437750.pdf,moj-judgments-1434-volume-4.pdf,163,172,10,5fb97646844aa38d8f169b2dcd936b49febafd4dd519e2168e727751a2e1220e,516477,True
moj-1434-v4-p173-3449400,moj-1434-v4-p173-3449400.pdf,moj-judgments-1434-volume-4.pdf,173,176,4,80c73e3d7dbcacdaa4ed5ffef8813263a3fc03a9bfe64549f6ec74386f78f984,489938,True
moj-1434-v4-p177-33350955,moj-1434-v4-p177-33350955.pdf,moj-judgments-1434-volume-4.pdf,177,183,7,83c1fd7b80dc4286395873a21d784b35218b7bf1e5d465f4916ff5667fa0a1f4,494569,True
moj-1434-v4-p184-33429665,moj-1434-v4-p184-33429665.pdf,moj-judgments-1434-volume-4.pdf,184,188,5,62679ca2081e57219711493589c9de2f68885bdc3b2ca78b4dbbd1730c1c99eb,505046,True
moj-1434-v4-p189-33479731,moj-1434-v4-p189-33479731.pdf,moj-judgments-1434-volume-4.pdf,189,194,6,4bd349d50522307017f11d4c94934a7f65fa77b56e8ad13ebb37a2d413665afc,497910,True
moj-1434-v4-p195-34165422,moj-1434-v4-p195-34165422.pdf,moj-judgments-1434-volume-4.pdf,195,204,10,843710a7415dcaff2d042a56a4986b5f0d6ea61893b5b1c207aeab1a0e6ad1bc,515057,True
moj-1434-v4-p205-34176729,moj-1434-v4-p205-34176729.pdf,moj-judgments-1434-volume-4.pdf,205,209,5,1526a2266ec24852342afec5a56807ccca37db2670f0d54c24527151640c6a3a,491410,True
moj-1434-v4-p210-34191872,moj-1434-v4-p210-34191872.pdf,moj-judgments-1434-volume-4.pdf,210,215,6,5bfd284ee6a6780e96b7c0b7aacc16693621e43d30dd7bfaa80a419db092e194,501071,True
moj-1434-v4-p216-34229326,moj-1434-v4-p216-34229326.pdf,moj-judgments-1434-volume-4.pdf,216,222,7,b877a5a5df14dd6a1f9968744d3fb7b538e2e92b6b9f4e14fc00fcb8376899e5,517505,True
moj-1434-v4-p223-34231347,moj-1434-v4-p223-34231347.pdf,moj-judgments-1434-volume-4.pdf,223,228,6,0355d89386b71af0b33d531fe736a6a697fd4680a50abb1a1dc64d6021d6d037,507262,True
moj-1434-v4-p229-34250292,moj-1434-v4-p229-34250292.pdf,moj-judgments-1434-volume-4.pdf,229,234,6,d57383722f9b76b5e28fe410bf70cd03dc31a51d71154d8764f7a4e52e30f340,506207,True
moj-1434-v4-p235-34290771,moj-1434-v4-p235-34290771.pdf,moj-judgments-1434-volume-4.pdf,235,243,9,c40d8493a69db9b8838a49c5946aeeee8cf2c7d3063812cd60c3594753676a51,501027,True
moj-1434-v4-p244-34309203,moj-1434-v4-p244-34309203.pdf,moj-judgments-1434-volume-4.pdf,244,248,5,69ca624d2befd687b813110680c094327b8fd9f6c3ea415c9cde8139ab1b0db9,510618,True
moj-1434-v4-p249-34335085,moj-1434-v4-p249-34335085.pdf,moj-judgments-1434-volume-4.pdf,249,253,5,89e1a26968740165d2386c4e9bc41ed9c70a8562421e1f1a6564fc05b04bffcb,488527,True
moj-1434-v4-p254-341487757,moj-1434-v4-p254-341487757.pdf,moj-judgments-1434-volume-4.pdf,254,262,9,6a8fac324a21ce04c95ecd6888540f7f1589e0331a02a0e58dbf5a56637be98f,1266600,True
moj-1434-v4-p263-33430561,moj-1434-v4-p263-33430561.pdf,moj-judgments-1434-volume-4.pdf,263,272,10,7a175c7a9aa1923a8a6da112e879dfc46429447f57dbc82d948f17d138f20081,1294477,True
moj-1434-v4-p273-34176193,moj-1434-v4-p273-34176193.pdf,moj-judgments-1434-volume-4.pdf,273,279,7,ee4d763c40bbdf28406cbe648e207e175902ce8f734eafe878a52077fdb7d27a,492629,True
moj-1434-v4-p280-34196443,moj-1434-v4-p280-34196443.pdf,moj-judgments-1434-volume-4.pdf,280,284,5,452027bf690d23e5e49e6c42124111950c0e7a509dced3d51780548dbde08213,503378,True
