"source_file","sha256","bytes","pages","document_type","granularity","status"
"banking-finance-principles.pdf","db834730c09f311d005e52cc2bc327807288f1632b0ca0ee62a707e5dcc4e459","1863518","281","مدونة مبادئ","document","مرجع مبادئ"
"bog-administrative-precedents-1402-1436.pdf","ee004d2aa18ea1fe026a0ba3fd63b47dcec4190cca0216308c69eba5fc007b4a","5146695","368","مدونة سوابق","document","1317 سابقة مفهرسة؛ 19 قيد مراجعة الحدود"
"commercial-contract-precedents.pdf","52097af8c245c3680792e410f1f50d18a3076ea116a3160e461b142da3c04c32","17679455","633","مدونة سوابق","document","47 سابقة مفصولة"
"higher-judiciary-principles-1391-1437-runtime.pdf","56d90ae1e6cddc8e03ef1abb45a114bd13a99f8ed0f1f0eb154659121695dfe3","17002527","648","مدونة مبادئ","document","نسخة تشغيلية مشتقة لا تُعد مصدرًا مستقلاً"
"higher-judiciary-principles-1391-1437.pdf","4b392bee12a15c620c0b6db184229d5271f6cb2ffeb7306a4a05d93b4fc41a7a","13557831","648","مدونة مبادئ","document","المصدر القانوني المعتمد"
"ip-judgments-1446.pdf","82e80f464ccea3a427eea760db4b69608fa724f65142d33a5b545f966c23b6bb","526199","18","مدونة أحكام","document","7 أحكام مفصولة"
"ip-precedents.pdf","9f35dbca0f20c3e21e62d40afefe523bda6d942fb2d2e420577fa211e205c8c4","2766408","6","مدونة سوابق/روابط","document","مرجع لا يُحتسب كحكم كامل إلا بعد التحقق"
"judicial-precedents-compilation.pdf","f106c814a438d4b37da57696a19d5ea40701648ddf76108f67b0d112435f3304","1373237","17","مدونة سوابق/روابط","document","مرجع لا يُحتسب كحكم كامل إلا بعد التحقق"
"judicial-precedents-study.pdf","de11954726c15dec323d249db1a898254cd03b359ca49ce2f8ad699ec1745fe4","415237","21","مدونة سوابق/روابط","document","مرجع لا يُحتسب كحكم كامل إلا بعد التحقق"
"moj-judgments-1434-volume-10.pdf","17172099759e4ae4a6305358e6d4d5bbec12444976069e1628e22ecb672ea010","3781511","412","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-12.pdf","7fbbefdb8b810d9daac796f824690c44b591184def9ac255751a20224fa7afc8","4104368","378","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-14.pdf","0faac966c633e1dad8ee3f8223fa401525eafdf75d2803e8d35e6c072becc830","4476366","376","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-15.pdf","3e70236bdf469ad1869f69fe165b936b4af1b67d6540fa32c467ff95360207e8","4853226","387","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-16.pdf","fbdf36deb24184bcd1453d4528d8e766d8800c753b8f21cfc3f22d9a916a242f","4673339","427","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-17.pdf","0fd12ae23184b837d4064d9481aed000ccba83493f30c15f7c271684d9768d3d","3563724","512","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-18.pdf","78873a7fe67123a392d1d8ed904a3d8a9a83abfe3e85f1b0d16961538d28f9da","3123094","506","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-19.pdf","3b89f883e82d7873ba50f322388b29458eafbeb7548b6b06d6e5f32ce06c196e","2478577","339","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-20.pdf","da777c85ad04c163536bc394d58196b0cd50748a8bfa960b0ac0ce725ed69659","2478112","336","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-21.pdf","e583fce1668437c0845f2ce9c364757a6d048a0c1681c6fb2ec4cf870f8ae57d","2449134","332","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-22.pdf","af23fd28ca115b52ffa13a98c2df44844943922b31cedde362a78702f8b9c133","3538771","267","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-23.pdf","442bb453ae6df7ee553646855b1610c79bd7b97d72b72cb641762bc7da3dfa23","4057284","353","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-24.pdf","9d0aa148f65f5c5468d29fb23ed346b56cdc0ad9e763d2404badbf750b51a03a","8366296","369","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-25.pdf","f4e975329bbf9e33d2851c84b1de5273b52b9dc1c4fc9eda6d08f93f0b25aa9b","4701062","420","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-26.pdf","b487906703f851e559d5d43a99eda6797f6b59d93f1b5d193e3f96e0bd45c27d","2868672","375","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-27.pdf","432edec85c03e7879aec9a85cb09a8882ff47ee73e3462d17845190c68475efe","4269148","317","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-28.pdf","427cfcd78c7d5368b2fbb4d9a63e685744daa9fd3ba2a58c586ded4a03e53de9","4354201","309","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-29.pdf","d6c1ce473472e7a4f15ed4d2f204476ac0269cf340f7e4e895864fd0a5957465","6816854","458","فهرس مدونة","document","مرجعي فقط"
"moj-judgments-1434-volume-3.pdf","9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef","5898258","380","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-30.pdf","b61c94d5a3ac33d818c94a40b7744b666efee46d3cf62d31b87125745276724a","1622433","176","فهرس مدونة","document","مرجعي فقط"
"moj-judgments-1434-volume-4.pdf","47d4c5054697335c8926799bd75ca40e51c5ddb31286a024defb7310e90e713e","4858612","356","مدونة أحكام","document","مصدر قضايا وزارة العدل"
"moj-judgments-1434-volume-6.pdf","d8164d23575435d9de8ae23e628410450521627312e060d519a1d069c0675e11","4364841","410","مدونة أحكام","document","مصدر قضايا وزارة العدل"
